date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:25	1018/1018	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jul%202010%2002:14:28%20GMT	http://wiki.open-esb.java.net/robots.txt		(from )
09:14:26	46773/46773	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202010%2002:14:26%20GMT	http://wiki.open-esb.java.net/Wiki.jsp?page=UnderstandingTheBPELModuleProject	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/Wikifbc9.html	(from )
09:14:28	22541/22541	---M--	200	added ('OK')	text/css	etag:W/%2222541-1266966043000%22	http://wiki.open-esb.java.net/templates/brushed/jspwiki.css	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/templates/brushed/jspwiki.css	(from )
09:14:28	18727/18727	---M--	200	added ('OK')	text/css	etag:W/%2218727-1266966042000%22	http://wiki.open-esb.java.net/templates/brushed/skins/Smart/skin.css	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/templates/brushed/skins/Smart/skin.css	(from )
09:14:29	13763/13763	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202010%2002:14:31%20GMT	http://wiki.open-esb.java.net/Wiki.jsp?page=FindPage	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/Wiki702d.html	(from )
09:14:31	37196/37196	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202010%2002:14:31%20GMT	http://wiki.open-esb.java.net/Wiki.jsp?page=TextFormattingRules	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/Wikia3b7.html	(from )
09:14:31	1120/1120	---M--	200	added ('OK')	image/png	etag:W/%221120-1266966065000%22	http://wiki.open-esb.java.net/images/openesb16x16.png	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/images/openesb16x16.png	(from )
09:14:31	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2008%20Jul%202010%2002:14:33%20GMT	http://wiki.open-esb.java.net/templates/brushed	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/templates/brushed.7.delayed	(from )
09:14:31	31848/31848	---MC-	200	added ('OK')	text/html	date:Thu,%2008%20Jul%202010%2002:14:32%20GMT	http://wiki.open-esb.java.net/Wiki.jsp?page=Main	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/Wikib2ab.html	(from )
09:14:38	56415/56415	---M--	200	added ('OK')	application/rdf+xml	etag:W/%2256415-1278553343000%22	http://wiki.open-esb.java.net/rss.rdf	C:/My%20Web%20Sites/BPEL%20module/wiki.open-esb.java.net/rss.rdf	(from )
